Source,CH1,CH2
Second,Volt,Volt
-23.04000000000,0.01000,0.00800
-23.03500000000,0.01400,0.01000
-23.03000000000,0.02000,0.01800
-23.02500000000,0.02200,0.01800
-23.02000000000,0.02200,0.01800
-23.01500000000,0.01600,0.01200
-23.01000000000,0.01400,0.01400
-23.00500000000,0.01000,0.00800
-23.00000000000,-0.00600,-0.00600
-22.99500000000,-0.00800,-0.00800
-22.99000000000,-0.01600,-0.01400
-22.98499750000,-0.01800,-0.01600
-22.98000000000,-0.02600,-0.02000
-22.97500000000,-0.02800,-0.02200
-22.97000000000,-0.02400,-0.02000
-22.96500000000,-0.02400,-0.02000
-22.96000000000,-0.01200,-0.01000
-22.95500000000,-0.01000,-0.00800
-22.95000000000,-0.00200,-0.00200
-22.94500000000,0.00600,0.00800
-22.94000000000,0.00200,0.00200
-22.93500000000,0.01200,0.01000
-22.93000000000,0.02000,0.01800
-22.92500000000,0.01400,0.01200
-22.92000000000,0.02600,0.02200
-22.91500000000,0.00400,0.00400
-22.91000000000,0.01200,0.01000
-22.90500000000,0.00400,0.00400
-22.90000000000,-0.00600,-0.00400
-22.89500000000,-0.00400,-0.00200
-22.89000250000,-0.01600,-0.01600
-22.88500000000,-0.02600,-0.02000
-22.88000000000,-0.02600,-0.02000
-22.87500250000,-0.02000,-0.01800
-22.87000000000,-0.02400,-0.02000
-22.86500250000,-0.02400,-0.02000
-22.86000000000,-0.01200,-0.01200
-22.85500250000,-0.01200,-0.01000
-22.85000000000,-0.00200,-0.00200
-22.84500000000,0.00,-0.00200
-22.84000250000,0.00800,0.00600
-22.83500000000,0.01600,0.01400
-22.83000250000,0.02600,0.02000
-22.82500000000,0.02000,0.01800
-22.82000250000,0.02200,0.01800
-22.81500000000,0.02000,0.01600
-22.81000250000,0.01000,0.00800
-22.80500000000,0.00800,0.00600
-22.80000000000,-0.00200,-0.00200
-22.79500000000,-0.00400,-0.00400
-22.79000000000,-0.01600,-0.01200
-22.78500000000,-0.01400,-0.01400
-22.78000000000,-0.02200,-0.02000
-22.77500250000,-0.02200,-0.01800
-22.77000000000,-0.02400,-0.02000
-22.76500250000,-0.01000,-0.00800
-22.76000000000,-0.01200,-0.01000
-22.75500000000,-0.01200,-0.01000
-22.75000000000,0.00600,0.00400
-22.74500000000,0.01200,0.01000
-22.74000250000,0.01800,0.01400
-22.73500000000,0.01200,0.00800
-22.73000250000,0.02400,0.02000
-22.72500000000,0.02400,0.01800
-22.72000000000,0.02600,0.02200
-22.71500000000,0.01400,0.01000
-22.71000000000,0.01600,0.01400
-22.70500000000,0.01000,0.00600
-22.70000000000,-0.00600,-0.00200
-22.69500000000,-0.00200,-0.00200
-22.69000000000,-0.01600,-0.01400
-22.68500000000,-0.01600,-0.01600
-22.68000000000,-0.02400,-0.02200
-22.67500000000,-0.02600,-0.02000
-22.67000000000,-0.01600,-0.01200
-22.66500000000,-0.02000,-0.01800
-22.66000000000,-0.01400,-0.01200
-22.65500000000,-0.01600,-0.01400
-22.65000000000,-0.01000,-0.00800
-22.64500000000,0.00400,0.00200
-22.64000250000,0.01600,0.01400
-22.63500000000,0.02000,0.01600
-22.63000000000,0.01800,0.01600
-22.62500000000,0.01600,0.01400
-22.62000000000,0.02600,0.02200
-22.61500000000,0.01800,0.01600
-22.61000000000,0.00200,0.00200
-22.60500000000,0.00,0.00200
-22.60000000000,0.00,0.00
-22.59500000000,-0.00800,-0.00600
-22.59000000000,-0.01600,-0.01200
-22.58500000000,-0.01200,-0.01200
-22.58000000000,-0.02400,-0.02000
-22.57500000000,-0.02800,-0.02200
-22.57000000000,-0.02400,-0.02000
-22.56500000000,-0.01600,-0.01400
-22.56000000000,-0.01600,-0.01400
-22.55500000000,-0.01600,-0.01400
-22.55000000000,-0.01600,-0.01400
-22.54500000000,-0.01600,-0.01400
-22.54000000000,0.02200,0.01800
-22.53500000000,0.01000,0.00800
-22.53000000000,0.01800,0.01400
-22.52500000000,0.00400,0.00400
-22.52000000000,0.00,0.00
-22.51500000000,-0.00400,-0.00400
-22.51000000000,-0.01400,-0.01000
-22.50500000000,-0.02200,-0.01800
-22.50000000000,-0.02800,-0.02200
-22.49500000000,-0.02400,-0.02000
-22.49000000000,-0.02400,-0.02000
-22.48499750000,-0.01600,-0.01400
-22.48000000000,-0.01200,-0.01000
-22.47500000000,-0.01000,-0.01000
-22.47000000000,-0.00400,-0.00400
-22.46500000000,0.00,0.00
-22.46000000000,0.01600,0.01200
-22.45500000000,0.01200,0.01000
-22.45000000000,0.02000,0.01600
-22.44500000000,0.01800,0.01200
-22.44000000000,0.01200,0.00800
-22.43500000000,0.01800,0.01600
-22.43000000000,0.01600,0.01400
-22.42500000000,0.00600,0.00400
-22.42000000000,-0.00400,-0.00200
-22.41500000000,-0.01600,-0.01200
-22.41000000000,-0.01800,-0.01400
-22.40500000000,-0.01800,-0.01600
-22.40000000000,-0.02600,-0.02200
-22.39500000000,-0.02200,-0.01800
-22.39000250000,-0.02600,-0.02400
-22.38500000000,-0.01800,-0.01600
-22.38000000000,-0.01200,-0.01000
-22.37500250000,-0.01200,-0.01000
-22.37000000000,0.00200,0.00
-22.36500250000,0.00600,0.00600
-22.36000000000,0.01000,0.01000
-22.35500250000,0.01400,0.01000
-22.35000000000,0.02600,0.02200
-22.34500000000,0.00800,0.00800
-22.34000250000,0.02000,0.01600
-22.33500000000,0.01400,0.01200
-22.33000250000,0.01000,0.01000
-22.32500000000,0.00600,0.00600
-22.32000250000,-0.00200,-0.00200
-22.31500000000,-0.00800,-0.00400
-22.31000250000,-0.01800,-0.01600
-22.30500000000,-0.01200,-0.01000
-22.30000000000,-0.02800,-0.02400
-22.29500000000,-0.02200,-0.01800
-22.29000000000,-0.02800,-0.02400
-22.28500000000,-0.01600,-0.01400
-22.28000000000,-0.01400,-0.01000
-22.27500250000,-0.01200,-0.01000
-22.27000000000,-0.00400,-0.00400
-22.26500250000,0.00400,0.00400
-22.26000000000,0.00600,0.00400
-22.25500000000,0.01200,0.01200
-22.25000000000,0.02000,0.01600
-22.24500000000,0.02200,0.01800
-22.24000250000,0.02200,0.02000
-22.23500000000,0.01400,0.01200
